OrderID,City,Zone,Timestamp,TimeBlock,DemandIndex,FuelPrice,TrafficIndex,Distance_km,Price,Cost,Profit,PredictedPrice,PredictedProfit
BANG072,Bangalore,Central,28-08-2025 15:57,Afternoon,54,106.63,0.85,5.04,119.56,103.72,15.84,119.55,15.77
BANG073,Bangalore,South,28-08-2025 14:49,Afternoon,43,106.64,0.53,10.18,171.19,155.12,16.07,171.15,15.99
BANG074,Bangalore,Central,27-08-2025 15:02,Afternoon,63,106.66,0.86,13.71,203.41,190.43,12.98,203.44,13.0
BANG075,Bangalore,West,27-08-2025 18:13,Evening,54,106.62,0.5,11.26,183.95,165.91,18.04,184.01,18.01
BANG076,Bangalore,South,29-08-2025 08:00,Morning,42,106.74,0.56,8.58,151.84,139.17,12.67,151.79,12.7
BANG077,Bangalore,South,27-08-2025 06:49,Morning,41,106.55,0.73,11.13,181.36,164.58,16.78,181.4,16.85
BANG078,Bangalore,West,28-08-2025 02:10,Night,53,106.62,0.82,14.4,204.99,197.31,7.68,204.98,7.78
BANG079,Bangalore,West,28-08-2025 08:24,Morning,48,106.53,0.55,5.18,128.32,105.06,23.26,128.24,23.32
BANG080,Bangalore,North,27-08-2025 05:28,Night,52,106.63,0.66,6.06,130.8,113.92,16.88,130.84,16.93
BANG081,Bangalore,North,28-08-2025 07:26,Morning,71,106.57,0.5,7.82,138.37,131.49,6.88,138.31,6.8
BANG082,Bangalore,West,29-08-2025 12:48,Afternoon,44,106.79,0.6,5.33,118.29,106.7,11.59,118.33,11.67
BANG083,Bangalore,North,29-08-2025 18:04,Evening,46,106.7,0.95,8.82,155.27,141.55,13.72,155.34,13.75
BANG084,Bangalore,West,27-08-2025 07:55,Morning,85,106.64,0.58,5.71,118.74,110.42,8.32,118.67,8.26
BANG085,Bangalore,South,27-08-2025 10:40,Morning,44,106.54,0.57,7.98,154.82,133.07,21.75,154.77,21.77
BANG086,Bangalore,North,28-08-2025 08:11,Morning,64,106.58,0.87,12.16,185.67,174.89,10.78,185.74,10.86
BANG087,Bangalore,East,29-08-2025 06:44,Morning,51,106.72,0.85,3.64,107.39,89.76,17.63,107.44,17.53
BANG088,Bangalore,East,29-08-2025 17:51,Afternoon,58,106.67,0.98,7.02,135.8,123.54,12.26,135.84,12.26
BANG089,Bangalore,South,27-08-2025 13:32,Afternoon,45,106.63,0.54,9.01,154.66,143.42,11.24,154.72,11.24
BANG090,Bangalore,South,27-08-2025 17:22,Afternoon,70,106.74,0.66,13.66,211.14,189.97,21.17,211.09,21.14
BANG091,Bangalore,North,29-08-2025 01:28,Night,81,106.73,0.63,6.6,131.54,119.36,12.18,131.51,12.18
BANG092,Bangalore,Central,27-08-2025 07:29,Morning,64,106.78,0.89,6.51,123.69,118.49,5.2,123.6,5.23
BANG093,Bangalore,West,27-08-2025 13:38,Afternoon,59,106.66,0.55,4.8,111.52,101.33,10.19,111.42,10.12
BANG094,Bangalore,East,28-08-2025 07:18,Morning,85,106.61,0.93,10.6,177.8,159.3,18.5,177.9,18.58
BANG095,Bangalore,South,29-08-2025 18:30,Evening,51,106.64,0.85,7.33,150.73,126.62,24.11,150.82,24.05
BANG096,Bangalore,Central,27-08-2025 18:43,Evening,59,106.51,0.84,5.28,127.04,106.06,20.98,127.01,20.9
BANG097,Bangalore,West,28-08-2025 04:38,Night,69,106.59,0.97,9.28,156.82,146.1,10.72,156.79,10.68
BANG098,Bangalore,South,29-08-2025 10:19,Morning,86,106.51,0.56,5.95,128.7,112.76,15.94,128.61,15.86
BANG099,Bangalore,West,29-08-2025 01:04,Night,73,106.6,0.64,6.83,130.01,121.6,8.41,130.05,8.35
BANG100,Bangalore,Central,29-08-2025 06:04,Morning,74,106.56,0.59,7.4,132.81,127.28,5.53,132.8,5.54
BANG101,Bangalore,Central,29-08-2025 16:52,Afternoon,81,106.52,0.52,5.0,114.53,103.26,11.27,114.52,11.36
BANG102,Bangalore,Central,27-08-2025 19:24,Evening,82,106.75,0.88,11.02,181.19,163.57,17.62,181.26,17.63
BANG103,Bangalore,North,29-08-2025 00:48,Night,61,106.55,0.69,9.29,156.42,146.17,10.25,156.41,10.27
BANG104,Bangalore,North,27-08-2025 08:40,Morning,56,106.53,0.53,9.53,168.54,148.56,19.98,168.54,19.95
BANG105,Bangalore,West,28-08-2025 16:53,Afternoon,76,106.72,0.96,7.38,143.95,127.16,16.79,143.91,16.85
BANG106,Bangalore,East,29-08-2025 09:45,Morning,82,106.7,0.71,12.57,199.71,179.05,20.66,199.65,20.56
BANG107,Bangalore,East,27-08-2025 20:02,Evening,40,106.51,0.72,3.89,111.72,92.16,19.56,111.66,19.52
BANG108,Bangalore,Central,29-08-2025 20:56,Evening,80,106.64,0.57,4.42,122.17,97.52,24.65,122.24,24.68
BANG109,Bangalore,South,29-08-2025 05:00,Night,68,106.67,0.99,13.8,199.88,191.34,8.54,199.96,8.57
BANG110,Bangalore,North,27-08-2025 03:18,Night,81,106.55,0.53,6.74,129.23,120.68,8.55,129.27,8.64
BANG111,Bangalore,East,27-08-2025 01:17,Night,66,106.68,0.73,6.83,132.69,121.64,11.05,132.71,11.01
BANG112,Bangalore,East,28-08-2025 22:16,Night,58,106.64,0.81,4.58,122.97,99.12,23.85,122.88,23.82
BANG113,Bangalore,Central,28-08-2025 05:01,Night,45,106.66,0.69,5.61,128.99,109.43,19.56,129.08,19.56
BANG114,Bangalore,Central,28-08-2025 14:44,Afternoon,85,106.59,0.84,4.04,116.38,93.7,22.68,116.47,22.61
BANG115,Bangalore,West,27-08-2025 20:47,Evening,52,106.63,0.55,7.61,145.2,129.42,15.78,145.29,15.87
BANG116,Bangalore,East,27-08-2025 19:39,Evening,61,106.59,0.78,7.83,138.72,131.6,7.12,138.71,7.09
BANG117,Bangalore,West,28-08-2025 16:41,Afternoon,56,106.77,0.51,3.62,96.02,89.58,6.44,96.09,6.5
BANG118,Bangalore,North,28-08-2025 02:27,Night,84,106.56,0.61,3.81,98.0,91.38,6.62,97.92,6.68
BANG119,Bangalore,West,29-08-2025 07:56,Morning,89,106.56,0.88,6.39,139.75,117.18,22.57,139.81,22.48
BANG120,Bangalore,Central,28-08-2025 02:06,Night,52,106.8,0.79,10.95,174.65,162.9,11.75,174.7,11.83
BANG121,Bangalore,North,29-08-2025 03:24,Night,89,106.61,0.74,8.34,145.65,136.71,8.94,145.65,8.99
BANG122,Bangalore,West,29-08-2025 09:50,Morning,61,106.67,0.85,9.03,148.7,143.64,5.06,148.71,5.14
BANG123,Bangalore,East,27-08-2025 08:57,Morning,68,106.53,0.7,7.82,139.63,131.46,8.17,139.68,8.15
BANG124,Bangalore,East,29-08-2025 14:24,Afternoon,75,106.54,0.89,5.22,127.1,105.47,21.63,127.14,21.64
BANG125,Bangalore,South,29-08-2025 09:03,Morning,68,106.69,0.68,11.85,191.92,171.84,20.08,191.91,20.04
BANG126,Bangalore,West,29-08-2025 14:56,Afternoon,77,106.79,0.5,10.16,169.2,155.0,14.2,169.25,14.15
BANG127,Bangalore,West,27-08-2025 13:37,Afternoon,41,106.61,0.86,14.07,200.86,194.0,6.86,200.81,6.77
BANG128,Bangalore,North,27-08-2025 09:30,Morning,62,106.7,0.63,10.47,165.72,158.05,7.67,165.8,7.69
BANG129,Bangalore,West,27-08-2025 09:25,Morning,44,106.63,0.75,3.78,105.83,91.12,14.71,105.78,14.79
BANG130,Bangalore,West,28-08-2025 20:59,Evening,43,106.75,0.54,11.46,174.59,167.98,6.61,174.57,6.65
BANG131,Bangalore,Central,27-08-2025 13:07,Afternoon,67,106.6,0.56,12.48,196.85,178.1,18.75,196.79,18.84
BANG132,Bangalore,South,27-08-2025 20:22,Evening,53,106.71,0.81,4.67,106.22,100.06,6.16,106.28,6.16
BANG133,Bangalore,North,27-08-2025 10:26,Morning,49,106.6,0.87,7.35,141.0,126.8,14.2,140.95,14.15
BANG134,Bangalore,South,29-08-2025 00:24,Night,63,106.51,0.56,13.18,193.44,185.06,8.38,193.45,8.42
BANG135,Bangalore,West,28-08-2025 12:19,Afternoon,78,106.65,0.87,10.98,184.04,163.12,20.92,184.05,20.93
BANG136,Bangalore,Central,27-08-2025 08:02,Morning,82,106.58,0.96,14.81,219.62,201.39,18.23,219.55,18.18
BANG137,Bangalore,West,28-08-2025 07:00,Morning,61,106.77,0.56,14.23,213.3,195.68,17.62,213.36,17.68
BANG138,Bangalore,Central,27-08-2025 18:11,Evening,71,106.6,0.51,9.02,149.0,143.5,5.5,149.06,5.48
BANG139,Bangalore,East,29-08-2025 18:32,Evening,79,106.62,0.9,10.12,163.69,154.51,9.18,163.69,9.1
BANG140,Bangalore,West,29-08-2025 12:35,Afternoon,52,106.56,0.69,9.71,166.15,150.38,15.77,166.09,15.78
BANG141,Bangalore,South,28-08-2025 08:51,Morning,70,106.62,0.82,7.09,134.84,124.21,10.63,134.77,10.64
BANG142,Bangalore,North,29-08-2025 21:54,Evening,45,106.53,0.89,10.71,176.04,160.36,15.68,176.06,15.66
BANG143,Bangalore,South,27-08-2025 06:17,Morning,44,106.69,0.5,8.57,149.31,139.05,10.26,149.31,10.25
BANG144,Bangalore,South,29-08-2025 05:38,Night,64,106.52,0.76,5.55,124.56,108.76,15.8,124.5,15.72
BANG145,Bangalore,North,29-08-2025 07:52,Morning,43,106.64,0.88,9.59,165.39,149.22,16.17,165.39,16.21
BANG146,Bangalore,West,29-08-2025 00:47,Night,71,106.74,0.93,14.5,204.15,198.37,5.78,204.21,5.75
BANG147,Bangalore,Central,29-08-2025 20:35,Evening,69,106.79,0.79,14.36,216.9,197.0,19.9,216.85,19.87
BANG148,Bangalore,North,27-08-2025 13:39,Afternoon,57,106.77,0.6,7.88,148.59,132.18,16.41,148.53,16.38
BANG149,Bangalore,Central,28-08-2025 07:40,Morning,50,106.61,0.95,7.54,142.02,128.71,13.31,141.95,13.38
BANG150,Bangalore,North,29-08-2025 07:08,Morning,41,106.62,0.88,6.76,138.68,120.91,17.77,138.65,17.74
BANG151,Bangalore,East,27-08-2025 12:13,Afternoon,83,106.74,0.91,9.95,164.19,152.87,11.32,164.17,11.26
BANG152,Bangalore,East,29-08-2025 23:18,Night,51,106.76,0.99,11.56,174.9,168.98,5.92,174.92,5.83
BANG153,Bangalore,West,28-08-2025 12:31,Afternoon,61,106.72,0.87,9.35,158.39,146.86,11.53,158.36,11.61
BANG154,Bangalore,North,29-08-2025 01:38,Night,82,106.67,0.52,10.16,175.47,154.94,20.53,175.38,20.59
BANG155,Bangalore,East,27-08-2025 15:14,Afternoon,77,106.71,0.91,9.86,169.11,151.95,17.16,169.18,17.2
BANG156,Bangalore,West,29-08-2025 05:10,Night,64,106.53,0.77,4.32,106.08,96.46,9.62,106.07,9.67
BANG157,Bangalore,South,29-08-2025 16:54,Afternoon,78,106.73,0.76,4.27,117.24,96.06,21.18,117.15,21.14
BANG158,Bangalore,Central,29-08-2025 21:21,Evening,41,106.61,0.75,13.24,204.35,185.7,18.65,204.25,18.56
BANG159,Bangalore,Central,29-08-2025 18:44,Evening,46,106.65,0.95,13.77,197.86,191.02,6.84,197.76,6.84
BANG160,Bangalore,Central,28-08-2025 04:49,Night,77,106.6,0.84,10.93,172.52,162.6,9.92,172.5,9.95
BANG161,Bangalore,West,27-08-2025 23:37,Night,56,106.66,0.99,12.23,199.94,175.63,24.31,200.02,24.36
BANG162,Bangalore,East,28-08-2025 15:47,Afternoon,47,106.76,0.7,3.4,101.57,87.38,14.19,101.55,14.14
BANG163,Bangalore,South,27-08-2025 05:32,Night,48,106.68,0.87,8.77,158.36,141.04,17.32,158.39,17.38
BANG164,Bangalore,East,29-08-2025 17:48,Afternoon,85,106.72,0.91,13.27,203.39,186.06,17.33,203.34,17.24
BANG165,Bangalore,South,27-08-2025 11:05,Morning,48,106.7,0.99,12.67,197.57,180.05,17.52,197.53,17.46
BANG166,Bangalore,South,29-08-2025 12:08,Afternoon,48,106.53,0.57,4.42,111.58,97.46,14.12,111.55,14.11
BANG167,Bangalore,South,27-08-2025 10:49,Morning,68,106.61,0.7,6.72,141.74,120.5,21.24,141.81,21.15
BANG168,Bangalore,South,28-08-2025 20:56,Evening,88,106.8,0.8,11.8,191.61,171.4,20.21,191.54,20.21
BANG169,Bangalore,North,27-08-2025 22:35,Night,89,106.61,0.93,13.53,196.85,188.6,8.25,196.77,8.27
BANG170,Bangalore,North,29-08-2025 23:51,Night,70,106.71,0.66,3.64,106.01,89.76,16.25,106.07,16.17
BANG171,Bangalore,South,28-08-2025 13:00,Afternoon,42,106.58,0.64,6.82,130.38,121.49,8.89,130.36,8.83
BANG172,Bangalore,Central,27-08-2025 11:50,Morning,59,106.8,0.57,11.63,178.12,169.7,8.42,178.05,8.43
BANG173,Bangalore,North,27-08-2025 08:44,Morning,40,106.6,0.64,12.94,194.25,182.7,11.55,194.26,11.63
BANG174,Bangalore,West,27-08-2025 00:20,Night,49,106.74,0.79,12.17,192.99,175.07,17.92,192.91,17.83
BANG175,Bangalore,West,27-08-2025 19:03,Evening,67,106.76,0.64,12.69,195.19,180.28,14.91,195.16,14.99
BANG176,Bangalore,North,29-08-2025 06:14,Morning,43,106.66,0.68,3.73,104.33,90.63,13.7,104.33,13.74
BANG177,Bangalore,East,29-08-2025 20:17,Evening,46,106.76,0.6,13.36,205.26,186.98,18.28,205.22,18.32
BANG178,Bangalore,Central,28-08-2025 08:25,Morning,75,106.67,0.73,13.14,204.5,184.74,19.76,204.56,19.84
BANG179,Bangalore,South,29-08-2025 23:26,Night,40,106.77,0.8,4.63,111.38,99.68,11.7,111.41,11.79
BANG180,Bangalore,West,29-08-2025 15:08,Afternoon,46,106.77,0.79,7.52,147.17,128.58,18.59,147.26,18.54
BANG181,Bangalore,North,29-08-2025 04:07,Night,87,106.67,0.6,10.21,171.09,155.44,15.65,170.99,15.62
BANG182,Bangalore,South,29-08-2025 13:40,Afternoon,81,106.64,0.75,13.8,206.38,191.32,15.06,206.38,15.07
BANG183,Bangalore,West,29-08-2025 01:23,Night,46,106.5,0.53,4.2,104.44,95.25,9.19,104.34,9.13
BANG184,Bangalore,South,29-08-2025 05:01,Night,89,106.63,0.85,9.4,162.04,147.32,14.72,161.95,14.72
BANG185,Bangalore,South,27-08-2025 05:25,Night,84,106.68,0.51,7.15,149.44,124.84,24.6,149.51,24.55
BANG186,Bangalore,West,28-08-2025 03:49,Night,52,106.51,0.67,4.38,103.23,97.06,6.17,103.25,6.16
BANG187,Bangalore,Central,29-08-2025 16:29,Afternoon,76,106.65,0.77,8.75,155.27,140.82,14.45,155.19,14.51
BANG188,Bangalore,East,29-08-2025 06:43,Morning,60,106.75,0.75,10.03,173.21,153.68,19.53,173.17,19.49
BANG189,Bangalore,East,29-08-2025 05:45,Night,64,106.6,0.78,12.6,194.78,179.3,15.48,194.87,15.38
BANG190,Bangalore,West,29-08-2025 16:15,Afternoon,57,106.56,0.89,13.45,199.56,187.78,11.78,199.49,11.85
BANG191,Bangalore,West,27-08-2025 03:14,Night,59,106.6,0.66,4.29,105.68,96.2,9.48,105.78,9.39
BANG192,Bangalore,South,29-08-2025 13:23,Afternoon,55,106.58,0.78,11.95,194.52,172.79,21.73,194.56,21.74
BANG193,Bangalore,Central,28-08-2025 17:19,Afternoon,51,106.59,0.58,10.77,179.28,161.0,18.28,179.3,18.27
BANG194,Bangalore,Central,29-08-2025 19:10,Evening,62,106.66,0.86,13.39,192.78,187.23,5.55,192.72,5.64
BANG195,Bangalore,Central,29-08-2025 01:27,Night,46,106.67,0.69,4.88,124.58,102.14,22.44,124.68,22.43
BANG196,Bangalore,Central,29-08-2025 18:44,Evening,54,106.77,0.91,5.93,134.82,112.68,22.14,134.85,22.17
BANG197,Bangalore,South,28-08-2025 15:57,Afternoon,79,106.69,0.71,8.03,152.64,133.64,19.0,152.74,19.05
BANG198,Bangalore,South,27-08-2025 07:13,Morning,42,106.51,0.84,3.15,104.02,84.76,19.26,104.11,19.18
BANG199,Bangalore,West,27-08-2025 06:49,Morning,89,106.54,0.97,11.28,188.78,166.07,22.71,188.82,22.62
BANG200,Bangalore,West,28-08-2025 08:04,Morning,50,106.57,0.61,10.82,183.12,161.49,21.63,183.14,21.68
BANG201,Bangalore,East,27-08-2025 21:37,Evening,62,106.75,0.83,11.25,176.72,165.88,10.84,176.73,10.91
BANG202,Bangalore,East,27-08-2025 08:18,Morning,62,106.58,0.55,9.46,159.65,147.89,11.76,159.57,11.83
BANG203,Bangalore,South,29-08-2025 03:52,Night,49,106.78,0.81,12.21,187.7,175.49,12.21,187.8,12.23
BANG204,Bangalore,Central,28-08-2025 22:32,Night,43,106.56,0.51,9.03,148.68,143.58,5.1,148.74,5.14
BANG205,Bangalore,South,29-08-2025 16:38,Afternoon,71,106.78,0.52,6.34,125.56,116.79,8.77,125.54,8.68
BANG206,Bangalore,South,29-08-2025 13:26,Afternoon,42,106.52,0.98,12.32,185.59,176.46,9.13,185.65,9.12
BANG207,Bangalore,East,29-08-2025 07:49,Morning,79,106.74,0.8,12.38,199.19,177.17,22.02,199.27,22.08
BANG208,Bangalore,South,29-08-2025 08:15,Morning,83,106.62,0.7,5.64,123.14,109.71,13.43,123.2,13.51
BANG209,Bangalore,West,29-08-2025 00:45,Night,80,106.71,0.51,9.21,162.87,145.46,17.41,162.89,17.37
BANG210,Bangalore,West,28-08-2025 05:31,Night,56,106.78,0.89,13.78,206.43,191.19,15.24,206.42,15.32
BANG211,Bangalore,North,27-08-2025 09:40,Morning,69,106.53,0.58,6.04,135.73,113.66,22.07,135.81,22.12
BANG212,Bangalore,Central,29-08-2025 11:40,Morning,44,106.67,0.77,6.88,140.38,122.14,18.24,140.47,18.17
BANG213,Bangalore,South,29-08-2025 20:50,Evening,60,106.59,0.69,13.69,213.64,190.2,23.44,213.59,23.54
BANG214,Bangalore,Central,29-08-2025 04:43,Night,74,106.54,0.97,10.01,162.22,153.37,8.85,162.18,8.76
BANG215,Bangalore,North,27-08-2025 07:23,Morning,70,106.79,0.56,7.16,142.08,125.0,17.08,142.03,17.15
BANG216,Bangalore,East,29-08-2025 23:32,Night,74,106.65,0.58,4.46,120.53,97.93,22.6,120.61,22.6
BANG217,Bangalore,East,29-08-2025 08:55,Morning,53,106.79,0.5,3.25,97.36,85.9,11.46,97.36,11.37
BANG218,Bangalore,South,27-08-2025 16:33,Afternoon,79,106.54,0.74,13.23,195.9,185.57,10.33,196.0,10.36
BANG219,Bangalore,West,29-08-2025 18:52,Evening,86,106.59,0.77,7.56,152.26,128.89,23.37,152.19,23.4
BANG220,Bangalore,West,29-08-2025 01:47,Night,84,106.66,0.71,8.23,158.47,135.63,22.84,158.43,22.92
BANG221,Bangalore,West,27-08-2025 23:30,Night,51,106.67,0.83,12.42,197.94,177.54,20.4,197.92,20.45
BANG222,Bangalore,East,29-08-2025 06:27,Morning,75,106.56,0.6,8.1,140.89,134.28,6.61,140.94,6.64
BANG223,Bangalore,South,27-08-2025 13:51,Afternoon,51,106.51,0.6,7.15,148.96,124.76,24.2,148.9,24.26
BANG224,Bangalore,South,28-08-2025 13:39,Afternoon,68,106.65,0.81,7.45,151.48,127.82,23.66,151.43,23.73
BANG225,Bangalore,West,29-08-2025 00:51,Night,65,106.57,0.55,8.74,151.03,140.68,10.35,150.99,10.4
BANG226,Bangalore,East,27-08-2025 15:32,Afternoon,70,106.59,0.51,11.12,174.77,164.5,10.27,174.84,10.34
